"","folder","filename","database","annotation","image","width","height","depth","segmented","name","pose","truncated","difficult","occluded"
"1","VOC2012","2007_000033.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,366,1,1,"aeroplane","Unspecified",0,0,0
"2","VOC2012","2007_000042.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,335,1,1,"train","Unspecified",1,0,0
"3","VOC2012","2007_000061.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"boat","Unspecified",0,0,0
"4","VOC2012","2007_000123.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"train","Unspecified",1,0,0
"5","VOC2012","2007_000129.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",334,500,1,1,"bicycle","Unspecified",0,0,0
"6","VOC2012","2007_000175.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,332,1,1,"sheep","Unspecified",0,0,0
"7","VOC2012","2007_000187.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"tvmonitor","Frontal",1,0,0
"8","VOC2012","2007_000323.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Frontal",1,0,0
"9","VOC2012","2007_000332.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"horse","Right",0,0,0
"10","VOC2012","2007_000346.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bottle","Unspecified",0,0,0
"11","VOC2012","2007_000452.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sofa","Right",0,0,0
"12","VOC2012","2007_000464.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"cow","Left",0,0,0
"13","VOC2012","2007_000491.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,334,1,1,"cow","Unspecified",1,0,0
"14","VOC2012","2007_000529.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"boat","Left",1,0,0
"15","VOC2012","2007_000559.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,370,1,1,"bottle","Unspecified",0,0,0
"16","VOC2012","2007_000572.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,331,1,1,"bicycle","Left",1,0,0
"17","VOC2012","2007_000629.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,230,1,1,"train","Left",1,0,0
"18","VOC2012","2007_000636.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,335,1,1,"train","Unspecified",1,0,0
"19","VOC2012","2007_000661.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sofa","Unspecified",1,0,0
"20","VOC2012","2007_000663.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",422,500,1,1,"bus","Frontal",0,0,0
"21","VOC2012","2007_000676.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sheep","Left",0,0,0
"22","VOC2012","2007_000727.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"bus","Unspecified",0,0,0
"23","VOC2012","2007_000762.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"diningtable","Unspecified",1,1,0
"24","VOC2012","2007_000783.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",480,437,1,1,"person","Unspecified",0,0,0
"25","VOC2012","2007_000799.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,441,1,1,"horse","Frontal",1,0,0
"26","VOC2012","2007_000804.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",333,500,1,1,"chair","Frontal",1,0,0
"27","VOC2012","2007_000830.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"diningtable","Unspecified",0,0,0
"28","VOC2012","2007_000837.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,275,1,1,"boat","Left",0,0,0
"29","VOC2012","2007_000847.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"diningtable","Unspecified",1,0,0
"30","VOC2012","2007_000862.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Unspecified",1,1,0
"31","VOC2012","2007_000925.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,353,1,1,"sheep","Frontal",0,0,0
"32","VOC2012","2007_000999.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"bottle","Unspecified",1,0,0
"33","VOC2012","2007_001154.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sofa","Unspecified",1,0,0
"34","VOC2012","2007_001175.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Right",0,0,0
"35","VOC2012","2007_001239.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"dog","Right",1,0,0
"36","VOC2012","2007_001284.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Frontal",1,0,0
"37","VOC2012","2007_001288.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,342,1,1,"aeroplane","Unspecified",0,0,0
"38","VOC2012","2007_001289.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,309,1,1,"bird","Unspecified",0,0,0
"39","VOC2012","2007_001299.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",429,500,1,1,"cow","Frontal",0,0,0
"40","VOC2012","2007_001311.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,319,1,1,"bicycle","Unspecified",0,1,0
"41","VOC2012","2007_001321.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"car","Right",1,0,0
"42","VOC2012","2007_001377.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,366,1,1,"aeroplane","Rear",0,0,0
"43","VOC2012","2007_001408.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",333,500,1,1,"bottle","Unspecified",0,0,0
"44","VOC2012","2007_001423.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"person","Frontal",0,0,0
"45","VOC2012","2007_001430.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"diningtable","Unspecified",1,0,0
"46","VOC2012","2007_001457.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"sofa","Frontal",0,0,0
"47","VOC2012","2007_001458.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"sofa","Unspecified",0,0,0
"48","VOC2012","2007_001526.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,298,1,1,"person","Unspecified",1,0,0
"49","VOC2012","2007_001568.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",400,400,1,1,"aeroplane","Right",1,0,0
"50","VOC2012","2007_001585.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,434,1,1,"person","Frontal",0,0,0
"51","VOC2012","2007_001586.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",480,398,1,1,"horse","Right",0,0,0
"52","VOC2012","2007_001587.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bicycle","Unspecified",0,0,0
"53","VOC2012","2007_001594.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"sheep","Left",0,0,0
"54","VOC2012","2007_001630.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"person","Rear",0,0,0
"55","VOC2012","2007_001677.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"diningtable","Unspecified",1,0,0
"56","VOC2012","2007_001678.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"tvmonitor","Unspecified",1,0,0
"57","VOC2012","2007_001717.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,404,1,1,"tvmonitor","Right",0,0,0
"58","VOC2012","2007_001733.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,500,1,1,"sheep","Right",0,0,0
"59","VOC2012","2007_001761.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"aeroplane","Left",1,0,0
"60","VOC2012","2007_001763.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"cat","Frontal",1,0,0
"61","VOC2012","2007_001774.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,340,1,1,"cat","Unspecified",0,0,0
"62","VOC2012","2007_001884.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bus","Unspecified",1,1,0
"63","VOC2012","2007_001955.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,324,1,1,"horse","Unspecified",0,0,0
"64","VOC2012","2007_002046.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",454,500,1,1,"horse","Unspecified",1,0,0
"65","VOC2012","2007_002094.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,332,1,1,"bird","Unspecified",0,0,0
"66","VOC2012","2007_002119.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"tvmonitor","Left",0,0,0
"67","VOC2012","2007_002132.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"tvmonitor","Frontal",0,0,0
"68","VOC2012","2007_002260.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,330,1,1,"motorbike","Left",0,0,0
"69","VOC2012","2007_002266.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,373,1,1,"aeroplane","Rear",1,0,0
"70","VOC2012","2007_002268.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"dog","Unspecified",0,0,0
"71","VOC2012","2007_002284.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",375,500,1,1,"pottedplant","Unspecified",1,1,0
"72","VOC2012","2007_002376.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"aeroplane","Unspecified",1,0,0
"73","VOC2012","2007_002378.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Unspecified",1,0,0
"74","VOC2012","2007_002387.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"cow","Right",0,0,0
"75","VOC2012","2007_002400.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",350,500,1,1,"bird","Right",1,0,0
"76","VOC2012","2007_002412.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"bird","Frontal",0,0,0
"77","VOC2012","2007_002426.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Unspecified",0,0,0
"78","VOC2012","2007_002427.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",320,240,1,1,"sofa","Left",1,0,0
"79","VOC2012","2007_002445.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",360,500,1,1,"cat","Frontal",1,0,0
"80","VOC2012","2007_002470.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",417,500,1,1,"cat","Unspecified",0,0,0
"81","VOC2012","2007_002539.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,333,1,1,"bus","Unspecified",1,0,0
"82","VOC2012","2007_002565.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"train","Unspecified",0,0,0
"83","VOC2012","2007_002597.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"cat","Right",0,0,0
"84","VOC2012","2007_002618.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,384,1,1,"sheep","Frontal",1,0,0
"85","VOC2012","2007_002619.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",380,500,1,1,"aeroplane","Unspecified",0,0,0
"86","VOC2012","2007_002624.jpg","The VOC2007 Database","PASCAL VOC2007","flickr",500,375,1,1,"person","Unspecified",1,0,0
